dateid,day,month,year
305,21,4,2024
596,21,4,2024
124,21,4,2024
710,21,4,2024
909,21,4,2024
1110,21,4,2024
315,21,4,2024
651,21,4,2024
1172,21,4,2024
517,21,4,2024
187,21,4,2024
394,21,4,2024
364,21,4,2024
248,21,4,2024
458,21,4,2024
27,21,4,2024
1077,21,4,2024
525,21,4,2024
744,21,4,2024
490,21,4,2024
314,21,4,2024
777,21,4,2024
177,21,4,2024
26,21,4,2024
650,21,4,2024
966,21,4,2024
512,21,4,2024
149,21,4,2024
917,21,4,2024
663,21,4,2024
446,21,4,2024
408,21,4,2024
298,21,4,2024
759,21,4,2024
162,21,4,2024
1094,21,4,2024
674,21,4,2024
292,21,4,2024
172,21,4,2024
354,21,4,2024
224,21,4,2024
1248,21,4,2024
941,21,4,2024
1133,21,4,2024
1044,21,4,2024
860,21,4,2024
77,21,4,2024
692,21,4,2024
1273,21,4,2024
279,21,4,2024
210,21,4,2024
1086,21,4,2024
1160,21,4,2024
807,21,4,2024
469,21,4,2024
1258,21,4,2024
1176,21,4,2024
819,21,4,2024
253,21,4,2024
748,21,4,2024
155,21,4,2024
1303,21,4,2024
276,21,4,2024
257,21,4,2024
184,21,4,2024
688,21,4,2024
449,21,4,2024
1108,21,4,2024
899,21,4,2024
102,21,4,2024
208,21,4,2024
1039,21,4,2024
992,21,4,2024
493,21,4,2024
1221,21,4,2024
474,21,4,2024
726,21,4,2024
955,21,4,2024
328,21,4,2024
45,21,4,2024
1134,21,4,2024
722,21,4,2024
1215,21,4,2024
501,21,4,2024
945,21,4,2024
898,21,4,2024
1297,21,4,2024
536,21,4,2024
573,21,4,2024
601,21,4,2024
781,21,4,2024
659,21,4,2024
849,21,4,2024
774,21,4,2024
171,21,4,2024
1252,21,4,2024
841,21,4,2024
894,21,4,2024
1266,21,4,2024
766,21,4,2024
870,21,4,2024
514,21,4,2024
180,21,4,2024
1171,21,4,2024
144,21,4,2024
1083,21,4,2024
971,21,4,2024
1019,21,4,2024
313,21,4,2024
1,21,4,2024
559,21,4,2024
711,21,4,2024
1283,21,4,2024
96,21,4,2024
682,21,4,2024
505,21,4,2024
552,21,4,2024
620,21,4,2024
1285,21,4,2024
470,21,4,2024
407,21,4,2024
1290,21,4,2024
840,21,4,2024
822,21,4,2024
937,21,4,2024
352,21,4,2024
1003,21,4,2024
1074,21,4,2024
238,21,4,2024
1157,21,4,2024
565,21,4,2024
780,21,4,2024
519,21,4,2024
1140,21,4,2024
1045,21,4,2024
667,21,4,2024
1188,21,4,2024
1067,21,4,2024
896,21,4,2024
447,21,4,2024
1116,21,4,2024
613,21,4,2024
1076,21,4,2024
831,21,4,2024
1291,21,4,2024
563,21,4,2024
70,21,4,2024
348,21,4,2024
606,21,4,2024
390,21,4,2024
154,21,4,2024
1089,21,4,2024
1009,21,4,2024
243,21,4,2024
103,21,4,2024
203,21,4,2024
1136,21,4,2024
1119,21,4,2024
738,21,4,2024
479,21,4,2024
